state,color
55,4.0
56,2.0
08,4.0
47,2.0
09,4.0
29,4.0
05,2.0
18,4.0
39,4.0
37,4.0
53,4.0
54,4.0
24,4.0
10,4.0
42,2.0
22,2.0
23,4.0
48,4.0
32,3.0
38,2.0
16,3.0
30,4.0
17,4.0
19,4.0
06,4.0
31,4.0
36,4.0
45,4.0
33,4.0
35,4.0
15,4.0
28,4.0
13,4.0
01,4.0
51,4.0
27,4.0
40,3.0
50,4.0
25,4.0
21,3.0
04,4.0
34,2.0
41,4.0
20,4.0
02,4.0
26,4.0
44,4.0
49,2.0
46,4.0
12,4.0
