state,color
TN,blue
WY,blue
MO,blue
AR,blue
IN,blue
NC,blue
WV,blue
LA,blue
ME,purple
TX,blue
ND,blue
ID,blue
MT,purple
IA,blue
NE,blue
CO,purple
SC,blue
MS,blue
OK,blue
GA,blue
WI,purple
AL,blue
UT,blue
AZ,blue
NJ,purple
KS,blue
AK,blue
KY,purple
OH,purple
SD,blue
FL,blue
PA,purple
CT,red
WA,red
MD,red
DE,red
NV,red
IL,red
CA,red
NY,red
NH,red
NM,red
HI,red
VA,red
MN,red
VT,red
MA,red
OR,red
MI,red
RI,red
